place,location,info,X,Y,story,,,,,
LLOYD’S REGISTER (OF SHIPPING),71 Fenchurch Street,"In 1885, after John Openshaw’s murder in The Adventure of the Five Orange Pips, Holmes spent the day at Lloyd’s, going over ship files. When he returned to Baker Street ,he placed five orange pips in an envelope, with “S. H. for J. O.” written under the flap. He addressed the envelope to, “Captain James Calhoun, Bark Lone Star, Savannah, Georgia”. Holmes told Watson that the Lone Star was the only ship of American registry, that matched the dates and places of the case.",-0.0790694,51.512674,The Five Orange Pips,,,,,
WESTHOUSE & MACBANK,FENCHURCH STREET,"In 1898, Mary Sutherland’s stepfather, James Windibank, worked for Westhouse and Marbank, the great claret importers of Fenchurch Street.Because her father had been a plumber, Mary received an invitation to the Gasfitter's Ball. Her stepfather did not want her to go, but she insisted and there, met Hosner Angel, in A Case of Identity.",-0.08063,51.511981,A Case of Identity,,,,,
LEADENHALL STREET,,"In the 1889 A Case of Identity, Mary Sutherland said Hosner Angel, was a cashier in an office in Leadenhall Street. She did not know which office. When she wrote him, she addressed her letters to general delivery at the Leadenhall Street Post Office.",-0.079342,51.513313,A Case of Identity,,,,,
ALDGATE TUBE STATION,,"In the 1895 Adventure of the Bruce-Partington Plans, Arthur Cadogan West’s body was found outside Aldgate Station, just south of Aldgate High Street, near the above ground section of the tracks. Scotland Yard thought he had been thrown from inside the train, but there was no ticket in his pockets. His purse contained two pounds fifteen, so there was no robbery. He also had a checkbook,and two dress-circle tickets for a theatre in Woolwich, dated that very evening. Holmes had a different theory. He thought Cadogan West’s body had been placed on the roof of the train, from where it had fallen at the sharp bend in the tracks.",-0.0758853,51.514524,The Adventure of the Bruce-Partington Plans,,,,,
STRAUBENZEE'S WORKSHOP,MINORIES,"In the 1903 Adventure of the Mazarin Stone, Holmes followed Count Sylvius to Old Straubenzee’s workshop in the Minories. Straubenzee had made an air gun that Holmes thought would be used to shoot him from the other side of Baker Street. Holmes had a new wax likeness of himself made to fool the assassin.",-0.075681,51.513176,The Adventure of the Mazarin Stone,,,,,
MRS. SAWYERS',CAMPERDOWN (DUNCAN) ST.,"A few minutes after eight, in the 1881 A Study in Scarlet, when a woman arrived in response to the Sherlock's ad. The woman said her name was Mrs. Sawyer, and that she lived on Duncan Street near Houndsditch. She said the ring belonged to her daughter Sally. Later, when Holmes went to the Duncan Street address, he found it belonged to a respectable paperhanger named Keswick, who had never heard of Mrs. Sawyer. Holmes surmised that “Mrs. Sawyer” must be an active man, and an incomparable actor. Duncan Street is now called Camperdown Street.",-0.071154,51.514275,A Study in Scarlet,,,,,
ADMIRALTY HOUSE,Whitehall,"The Old Admiralty Offices in Whitehall are mentioned in four Sherlock Holmes adventures. In 1874, this is where it was set down that the convict ship 'The Gloria Scott"" was lost at sea. No word ever leaked out as to her true fate. In 1895, with the death of Arthur Cadogan West, and the missing Bruce-Partington Plans, the Admiralty was buzzing like an overturned beehive. Mycroft said, “He had never seen the Prime Minister so upset”. In the 1903 Adventure of the Priory School, it was mentioned that the Duke of Holdernesse had been First Lord of the Admiralty, with offices at Whitehall. Finally, in 1914, Von Bork complained that The Admiralty had changed every naval code. Nevertheless, thanks to his checkbook, and his agent Altamont, he would soon get the new signals. Von Bork told Von Herling that he paid Altamont five hundred pounds for the revised codes, and explained that Altamont (in reality, Holmes as a double agent) was an Irish-American who hated the British.",-0.1271371,51.5054502,The Adventure of the Priory School,,,,,
FERGUSON & MUIRHEAD,MINCING LANE,"In the 1896 Adventure of the Sussex Vampire, Robert Ferguson was a partner in Ferguson and Muirhead, tea brokers of Mincing Lane.",-0.081518,51.510913,The Adventure of the Sussex Vampire,,,,,
ABBEY BUILDING SOCIETY,221 Baker Street,"With the 1930s expansion and renumbering of Baker Street, the Abbey Building Society building had the luck (good or bad) of containing the 221 Baker Street address. People from all over the world wrote Sherlock and the Royal Mail delivered all of the letters to the Abbey House. The company had to hire a full-time, “Secretary to Mr.Holmes”, to handle the correspondence. I think they enjoyed the notoriety, because in the 1951 Festival of Britain, the society hosted the display of Sherlock Holmes material. The main attraction was a replica of the famous 221B sitting room, which drew 54,000 paid visitors during the four months of the London exhibition. The replica room now resides behind glass at the Sherlock Holmes Pub on Northumberland Street.",-0.1582745,51.5232769,Other,,,,,
SHERLOCK HOLMES MUSEUM,221B Baker Street,"The blue plaque on the Sherlock Holmes Museum says 221B, which replaced their true postal address of 239. When the nearby Abbey National Building Society moved, the Westminster Government authorized the Museum to use the famous 221B address, and they were awarded the Sherlock Holmes Blue Plaque. The ground floor of the museum has a memorabilia gift shop, and the upper floors are furnished as Conan Doyle described Holmes and Watson's lodging. The museum has now taken on the task of receiving and answering the mail addressed to Sherlock Holmes. Sherlock's adventure of The Empty House identified today's No. 31 Baker Street as the true location of ""221B"". Unfortunately, it is now the location of a modern office block. ,",-0.158535,51.523756,The Adventure of the Empty House,,,,,
